                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260613"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      492                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  1.8588363976646809E-002                  9.7215754056636361E-001                  9.7108072472096296E-008                  9.9999848994430751E-001                  9.9984561661280413E-001                  9.7215754056636361E-001                  9.7108072472096296E-008                  9.9999848994430751E-001                  9.9984561661280413E-001                 -1.8317902834866260E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8317902834866260E+001                 -1.8317902834866260E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4576437984005999E+000                 -1.8084979941633030E+000                 -2.9688343301835396E-001                  3.3127970148615256E+000                  0.0000000000000000E+000                  1.3664065034422517E+001                  5.7934844191288859E-002                  5.5095626352561409E+000                  7.5476047420837045E-001                  8.7985426035237346E-001                  1.2198718649594937E+000                  7.5970000000000004E-001                  2.4017443788575954E-001                  1.7234416803928866E-005                  4.6902638225742491E-005                  1.7234416803928859E-005                  4.6902638225742498E-005                  1.4507903157193029E-002                  4.5865835009607338E-003                                        0                                        8 
                                      10                                      492                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  1.8709272060042612E-002                  9.7965152483021423E-001                  9.7108072472096296E-008                  9.9999918302392554E-001                  9.9981202173938444E-001                  9.7965152483021423E-001                  9.7108072472096296E-008                  9.9999918302392554E-001                  9.9981202173938444E-001                 -1.8336534861391964E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8336534861391964E+001                 -1.8336534861391964E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4551027560041891E+000                 -1.8165659027900631E+000                 -2.9583530253891249E-001                  3.3107007539026427E+000                  0.0000000000000000E+000                  1.3667806563082282E+001                  6.3579764613585374E-002                  5.5078142258632123E+000                  7.5668837887876583E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        5 
                                      20                                      492                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  1.8961971700324223E-002                  9.9288523839544174E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9978218385419981E-001                  9.9288523839544174E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9978218385419981E-001                 -1.8358540001187169E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8358540001187169E+001                 -1.8358540001187169E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4541599376986283E+000                 -1.8121151032753307E+000                 -2.9172426617042435E-001                  3.3024786811656663E+000                  0.0000000000000000E+000                  1.3675373103526610E+001                  7.3674789475291838E-002                  5.5054535354387264E+000                  7.5959473215457740E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        5 
                                      30                                      492                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  1.9011552872008779E-002                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9977123525663358E-001                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9977123525663358E-001                 -1.8360751545304524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8360751545304524E+001                 -1.8360751545304524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4540318710716260E+000                 -1.8101285733442962E+000                 -2.9047486795090260E-001                  3.2999798847266231E+000                  0.0000000000000000E+000                  1.3676756858081440E+001                  7.5317805665714985E-002                  5.5052028651566394E+000                  7.5997842455034348E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        3 
                                      40                                      492                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  1.9011552889442652E-002                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9973502776563472E-001                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9973502776563472E-001                 -1.8360841561865712E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8360841561865712E+001                 -1.8360841561865712E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4538188124819804E+000                 -1.8109988281930038E+000                 -2.9048387819596583E-001                  3.2999979052167494E+000                  0.0000000000000000E+000                  1.3676827090617692E+001                  7.5398650212017942E-002                  5.5051924185039507E+000                  7.5999611152899460E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        2 
                                      50                                      492                  4.5497190750010669E-001                 -1.1201189436663841E+000                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  1.9011552884274269E-002                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9952451605675485E-001                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9952451605675485E-001                 -1.8360842279869491E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8360842279869491E+001                 -1.8360842279869491E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4531090685070498E+000                 -1.8144714034633755E+000                 -2.9080067788129021E-001                  3.3006315045873982E+000                  0.0000000000000000E+000                  1.3676829748151295E+001                  7.5401513737073156E-002                  5.5051921985375856E+000                  7.5999664762032659E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        4 
                                      60                                      492                  2.8173257176583335E+000                 -3.2830648319013606E-001                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  1.9011552864008255E-002                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9875385652081250E-001                  9.9531793609655617E-001                  9.7108072472096296E-008                  1.0000000000000000E+000                  9.9875385652081250E-001                 -1.8360829802905553E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8360829802905553E+001                 -1.8360829802905553E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4515591095936031E+000                 -1.8223667469862306E+000                 -2.9164843181582356E-001                  3.3023270124564648E+000                  0.0000000000000000E+000                  1.3676831678690794E+001                  7.5402660849299183E-002                  5.5051928753419412E+000                  7.5999640210916863E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        5 
                                      70                                      492                  1.7444397846610435E+001                  4.6350597728611193E-001                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  4.9487286387929290E-004                  9.9531793609655617E-001                  5.9905550338484792E-001                  5.6361674381549787E-001                  2.1599999154180000E-001                  9.9531793609655617E-001                  5.9905550338484792E-001                  5.6361674381549787E-001                  2.1599999154180000E-001                 -1.8360758524543048E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8360758524543048E+001                 -1.8360758524543048E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4490006119358765E+000                 -1.8361487875971094E+000                 -2.9342245680581036E-001                  3.3058750624364381E+000                  0.0000000000000000E+000                  1.3676842363658082E+001                  7.5408861232025670E-002                  5.5051967544467102E+000                  7.5999494221014718E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        5 
                                      80                                      492                  1.0801137310051504E+002                  1.2553184377623601E+000                  1.9096884503347407E-002                  3.1579468431882354E+001                 -9.8999999999999986E+001                  2.7412176475875161E-004                  1.0000000000000000E+000                  6.2904611186857057E-002                  9.6825781857807769E-003                  9.7108072472096296E-008                  1.0000000000000000E+000                  6.2904611186857057E-002                  9.6825781857807769E-003                  9.7108072472096296E-008                 -1.8359837232497892E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8359837232497892E+001                 -1.8359837232497892E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4487118099253853E+000                 -1.8378591627601211E+000                 -2.9370004036633385E-001                  3.3064302295574852E+000                  0.0000000000000000E+000                  1.3677005569387736E+001                  7.5503635163265040E-002                  5.5052559459308927E+000                  7.5997269262377032E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.4507903157193037E-002                  4.5865835009607373E-003                                        0                                        5 
