                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260612"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      528                  1.0000000000000001E-005                 -4.9999999999999991E+000                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.5619428951475860E-002                  9.5363681726453187E-001                  9.2100999826705277E-008                  9.7240858949850029E-001                  9.6568583048891909E-001                  9.5363681726453187E-001                  9.2100999826705277E-008                  9.7240858949850029E-001                  9.6568583048891909E-001                 -1.7036091019425921E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7036091019425921E+001                 -1.7036091019425921E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4785255660893766E+000                 -1.1226096222045185E+000                  4.2972175834841246E-003                  3.1083590417755560E+000                  0.0000000000000000E+000                  1.3349237707492168E+001                 -3.6293542352211411E-001                  5.6038643967979604E+000                  6.1954875852623781E-001                  8.7985426035237346E-001                  1.2198718649594937E+000                  7.5970000000000004E-001                  2.4017443788575954E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928863E-005                  4.6902638225742484E-005                  3.6268364856520123E-002                  1.1466018352573860E-002                                        0                                        2 
                                      10                                      528                  2.5958682111999997E-004                 -4.2873687855713758E+000                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.5708242659889854E-002                  9.5557327471314935E-001                  9.2100999826705277E-008                  9.7240858949850029E-001                  9.6568583048892176E-001                  9.5557327471314935E-001                  9.2100999826705277E-008                  9.7240858949850029E-001                  9.6568583048892176E-001                 -1.7046039097911034E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7046039097911034E+001                 -1.7046039097911034E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4751127981329710E+000                 -1.1357067637793974E+000                  4.5741827088564314E-003                  3.1078051115248115E+000                  0.0000000000000000E+000                  1.3351319459713618E+001                 -3.5948982810582758E-001                  5.6027002931935757E+000                  6.2052573188704307E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        2 
                                      20                                      528                  1.8668799962237366E-003                 -3.4955563250951283E+000                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.6806326800066037E-002                  9.7974589549791757E-001                  9.2100999826705277E-008                  9.9974532537364003E-001                  9.9952069307855484E-001                  9.7974589549791757E-001                  9.2100999826705277E-008                  9.9974532537364003E-001                  9.9952069307855484E-001                 -1.7055110349110901E+001                 -9.8999999999999986E+001                 -3.2812269527373950E+001                 -1.7055110349110901E+001                 -1.7055110349110901E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4738716458114505E+000                 -1.1379185905132414E+000                  5.9505739849751629E-003                  3.1050523289725742E+000                  0.0000000000000000E+000                  1.3355113960484173E+001                 -3.5446647347002563E-001                  5.6016840149046070E+000                  6.2172098538976872E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        7 
                                      30                                      528                  1.1818815689988481E-002                 -2.7037438646188803E+000                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.7330587230708897E-002                  9.9101395683575066E-001                  9.2100999826705277E-008                  9.9974532537364003E-001                  9.9949690545844561E-001                  9.9101395683575066E-001                  9.2100999826705277E-008                  9.9974532537364003E-001                  9.9949690545844561E-001                 -1.7056675929713926E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7056675929713926E+001                 -1.7056675929713926E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4733442848306368E+000                 -1.1374341118144076E+000                  7.2475352960199050E-003                  3.1024584063504843E+000                  0.0000000000000000E+000                  1.3356871702596122E+001                 -3.5242453313703886E-001                  5.6014636686305437E+000                  6.2213991121083456E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        5 
                                      40                                      528                  7.3438578398454232E-002                 -1.9119314041426323E+000                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.7383332186632425E-002                  9.9216912904498744E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  9.9910255727772146E-001                  9.9216912904498744E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  9.9910255727772146E-001                 -1.7056799684663346E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7056799684663346E+001                 -1.7056799684663346E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4731104109368052E+000                 -1.1381582378059625E+000                  7.3532200879054708E-003                  3.1022470367667134E+000                  0.0000000000000000E+000                  1.3357066434698652E+001                 -3.5220353267510734E-001                  5.6014438329399683E+000                  6.2218387927903429E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        2 
                                      50                                      528                  4.5497190750010669E-001                 -1.1201189436663841E+000                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.7383332182789534E-002                  9.9216912904498744E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  9.9868355458716951E-001                  9.9216912904498744E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  9.9868355458716951E-001                 -1.7056802832812380E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7056802832812380E+001                 -1.7056802832812380E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4728213786996553E+000                 -1.1396103305970144E+000                  7.2052381666799772E-003                  3.1025430006091641E+000                  0.0000000000000000E+000                  1.3357075808236251E+001                 -3.5219310873661619E-001                  5.6014430666530011E+000                  6.2218588946982367E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        4 
                                      60                                      528                  2.8173257176583335E+000                 -3.2830648319013606E-001                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.7383332086474779E-002                  9.9216912904498744E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  9.9718815939344196E-001                  9.9216912904498744E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  9.9718815939344196E-001                 -1.7056785588638000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7056785588638000E+001                 -1.7056785588638000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4720837400096580E+000                 -1.1435284119502465E+000                  6.7214748700580142E-003                  3.1035105272024084E+000                  0.0000000000000000E+000                  1.3357078801311003E+001                 -3.5219117488867263E-001                  5.6014440509345560E+000                  6.2218583439534825E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        6 
                                      70                                      528                  1.7444397846610435E+001                  4.6350597728611193E-001                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  2.7710091943543930E-002                  5.7652716669066595E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  6.2237784871112811E-001                  5.7652716669066595E-001                  9.2100999826705277E-008                  1.0000000000000000E+000                  6.2237784871112811E-001                 -1.7056637016002444E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7056637016002444E+001                 -1.7056637016002444E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4709298486328306E+000                 -1.1500597460169986E+000                  5.7635905903367464E-003                  3.1054262957618506E+000                  0.0000000000000000E+000                  1.3357101943490001E+001                 -3.5217738846862950E-001                  5.6014526887298368E+000                  6.2218482591270041E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        2 
                                      80                                      528                  1.0801137310051504E+002                  1.2553184377623601E+000                  4.7740377591839064E-002                  3.1977391760000064E+001                 -9.8999999999999986E+001                  4.7740377591839064E-002                  1.0000000000000000E+000                  9.2100999826705277E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.2100999826705277E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7055309819037028E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7055309819037028E+001                 -1.7055309819037028E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4709343705324547E+000                 -1.1502043669433499E+000                  5.6822363279127267E-003                  3.1055890042866992E+000                  0.0000000000000000E+000                  1.3357409240326671E+001                 -3.5194693571567937E-001                  5.6015256270009468E+000                  6.2219511648758030E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  3.6268364856520130E-002                  1.1466018352573860E-002                                        0                                        2 
